municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
MAMBAÍ,GOIÁS,Cerrado,-14.36796508154781,-46.05070737288137,19.739958,Alto,0.12053668025532308,-0.992708874098054,13.409344262295082,27.557377049180328
MAMPITUBA,RIO GRANDE DO SUL,Mata Atlântica,-29.255115000000007,-49.98172375,5.1251216,Médio,0.12053668025532308,-0.992708874098054,0.8581818181818182,4.909090909090909
MANACAPURU,AMAZONAS,Amazônia,-3.2649885725677836,-60.98730950299041,13.338427,Alto,0.12053668025532308,-0.992708874098054,68.53285714285714,5.023809523809524
MANAQUIRI,AMAZONAS,Amazônia,-3.6388002721518964,-60.54807460421944,11.990035,Alto,0.12053668025532308,-0.992708874098054,112.58080357142858,4.125
MANARI,PERNAMBUCO,Caatinga,-8.887657977941176,-37.53480760661763,11.357196,Alto,0.12053668025532308,-0.992708874098054,2.2112820512820512,19.756410256410255
MANAUS,AMAZONAS,Amazônia,-2.8419755096856147,-59.87714715496987,9.619768,Médio,0.12053668025532308,-0.992708874098054,25.290536912751676,3.7583892617449663
MANAÍRA,PARAÍBA,Caatinga,-7.719058679999997,-38.18986662,16.614996,Alto,0.12053668025532308,-0.992708874098054,4.970243902439025,16.9390243902439
MANDAGUARI,PARANÁ,Mata Atlântica,-23.533504999999995,-51.695414517699106,10.163191,Médio,0.12053668025532308,-0.992708874098054,1.0246,6.74
MANDIRITUBA,PARANÁ,Mata Atlântica,-25.85638910299003,-49.327126378737546,5.008214,Médio,0.12053668025532308,-0.992708874098054,2.6227027027027026,6.554054054054054
MANFRINÓPOLIS,PARANÁ,Mata Atlântica,-26.09861791666667,-53.32220479166667,6.0471463,Médio,0.12053668025532308,-0.992708874098054,2.415,6.083333333333333
MANGA,MINAS GERAIS,Caatinga,-14.685263285543611,-44.00899270250897,19.170126,Alto,0.12053668025532308,-0.992708874098054,4.5572514619883036,26.63157894736842
MANGUEIRINHA,PARANÁ,Mata Atlântica,-25.964327008196722,-52.22083127049181,6.4898896,Médio,0.12053668025532308,-0.992708874098054,1.7832258064516129,5.532258064516129
