municipio,estado,bioma,latitude,longitude,municipio_y,probabilidade,semana,precipitacao_total,dias_sem_chuva_max
SARANDI,PARANÁ,Mata Atlântica,-23.42679,-51.84473,3411,0.97089076,25,20.39853919264377,6.0
SARAPUÍ,SÃO PAULO,Mata Atlântica,-23.62124,-47.90962,3412,0.98198503,25,25.389202434367263,4.5
SARZEDO,MINAS GERAIS,Mata Atlântica,-20.0514,-44.16696,3413,0.97123444,25,21.841632046648748,36.5
SATUBA,ALAGOAS,Mata Atlântica,-9.577024999999999,-35.848974999999996,3414,0.9746017,25,31.296444750002742,6.25
SATUBINHA,MARANHÃO,Amazônia,-3.951255833333333,-45.272774166666665,3415,0.99757725,25,28.363009819146857,3.0416666666666665
SAÚDE,BAHIA,Caatinga,-10.95432,-40.392074,3416,0.98060983,25,33.16898769571629,11.7
SEABRA,BAHIA,Caatinga,-12.451008,-41.926052,3417,0.9730455,25,28.981903082250906,19.27777777777778
SEARA,SANTA CATARINA,Mata Atlântica,-27.169425,-52.304445,3418,0.0013925637,25,22.892938428037187,2.75
SEBASTIANÓPOLIS DO SUL,SÃO PAULO,Cerrado,-20.59864,-49.90033,3419,0.00390746,25,28.242669326121085,0.5
SEBASTIÃO BARROS,PIAUÍ,Cerrado,-10.638032613636364,-44.80707531818182,3420,0.9929594,25,33.32159921379708,20.58490566037736
SEBASTIÃO LARANJEIRAS,BAHIA,Caatinga,-14.657651428571429,-43.01162571428572,3421,0.9830595,25,31.712836111284403,4.590909090909091
SEBASTIÃO LARANJEIRAS,BAHIA,Cerrado,-14.57854175,-43.2672095,3421,0.9830595,25,31.712836111284403,4.590909090909091
SEBASTIÃO LEAL,PIAUÍ,Caatinga,-7.4465900000000005,-43.728732,3422,0.990825,25,28.61113016911905,20.380555555555556
SEBASTIÃO LEAL,PIAUÍ,Cerrado,-7.782085359589042,-44.114312493150685,3422,0.990825,25,28.61113016911905,20.380555555555556
SEBERI,RIO GRANDE DO SUL,Mata Atlântica,-27.46395,-53.31584,3423,0.97200316,25,20.344612355919125,3.0
SELVÍRIA,MATO GROSSO DO SUL,Cerrado,-20.339780714285716,-51.772167857142854,3424,0.9787946,25,31.28189697725283,4.928571428571429
SEM-PEIXE,MINAS GERAIS,Mata Atlântica,-20.1203025,-42.8208,3425,0.9818263,25,27.705874596843536,17.875
SENA MADUREIRA,ACRE,Amazônia,-9.594746717557252,-68.83543716030535,3426,0.99802893,25,32.44321967998155,3.5309734513274336
SENADOR ALEXANDRE COSTA,MARANHÃO,Cerrado,-5.271703636363636,-43.979313636363635,3427,0.9924452,25,32.015565786490576,6.409090909090909
SENADOR CANEDO,GOIÁS,Cerrado,-16.723198000000004,-49.123852,3428,0.98066,25,31.485454149510474,13.6
SENADOR FIRMINO,MINAS GERAIS,Mata Atlântica,-20.929009999999998,-43.09427,3429,0.9757757,25,38.75131980983205,28.5
SENADOR GUIOMARD,ACRE,Amazônia,-9.908077200000001,-67.330942,3430,0.9949876,25,31.189873452209614,3.875
SENADOR JOSÉ PORFÍRIO,PARÁ,Amazônia,-3.420558660968661,-51.910631826210825,3431,0.99751556,25,30.69040343727507,3.8701657458563536
